,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9
1995.2307692307693,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1995.3076923076924,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995.3846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1995.4615384615386,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995.5384615384614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995.6153846153845,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1995.6923076923076,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
1995.7692307692307,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0
1995.8461538461538,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1995.923076923077,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
1996.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1996.076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1996.1538461538462,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1996.2307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996.3076923076924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1996.3846153846155,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1996.4615384615386,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1996.5384615384614,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1996.6153846153845,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1996.6923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996.7692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996.8461538461538,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1996.923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1997.076923076923,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
1997.1538461538462,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1997.2307692307693,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1997.3076923076924,5.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0
1997.3846153846155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1997.4615384615386,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
1997.5384615384614,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
1997.6153846153845,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1997.6923076923076,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1997.7692307692307,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
1997.8461538461538,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1997.923076923077,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1998.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1998.076923076923,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1998.1538461538462,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998.2307692307693,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1998.3076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998.3846153846155,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
1998.4615384615386,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1998.5384615384614,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1998.6153846153845,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1998.6923076923076,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1998.7692307692307,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1998.8461538461538,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998.923076923077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1999.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
1999.076923076923,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
1999.1538461538462,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0
1999.2307692307693,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
1999.3076923076924,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1999.3846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999.4615384615386,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1999.5384615384614,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1999.6153846153845,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1999.6923076923076,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1999.7692307692307,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0
1999.8461538461538,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1999.923076923077,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
2000.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0
2000.076923076923,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
2000.1538461538462,1.0,2.0,2.0,1.0,11.0,0.0,1.0,0.0,1.0
2000.2307692307693,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2000.3076923076924,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0
2000.3846153846155,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2000.4615384615386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.5384615384614,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.6153846153845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2000.6923076923076,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2000.7692307692307,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0
2000.8461538461538,0.0,1.0,0.0,1.0,6.0,6.0,1.0,0.0,2.0
2000.923076923077,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,2.0
2001.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,6.0
2001.076923076923,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0
2001.1538461538462,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0
2001.2307692307693,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2001.3076923076924,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0
2001.3846153846155,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0
2001.4615384615386,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0
2001.5384615384614,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,7.0
2001.6153846153845,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0
2001.6923076923076,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2001.7692307692307,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2001.8461538461538,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
2001.923076923077,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
2002.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,7.0
2002.076923076923,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2002.1538461538462,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0
2002.2307692307693,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
2002.3076923076924,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2002.3846153846155,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
2002.4615384615386,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0
2002.5384615384614,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,2.0
2002.6153846153845,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0
2002.6923076923076,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0
2002.7692307692307,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0
2002.8461538461538,2.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,7.0
2002.923076923077,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
2003.0,0.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,11.0
2003.076923076923,1.0,0.0,0.0,1.0,4.0,18.0,0.0,0.0,18.0
2003.1538461538462,0.0,0.0,2.0,0.0,1.0,9.0,2.0,0.0,19.0
2003.2307692307693,0.0,2.0,1.0,0.0,2.0,9.0,0.0,2.0,3.0
2003.3076923076924,1.0,1.0,0.0,0.0,6.0,11.0,0.0,0.0,2.0
2003.3846153846155,0.0,3.0,2.0,0.0,10.0,6.0,4.0,6.0,2.0
2003.4615384615386,2.0,1.0,2.0,1.0,9.0,7.0,3.0,1.0,4.0
2003.5384615384614,2.0,6.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0
2003.6153846153845,1.0,0.0,0.0,2.0,5.0,17.0,0.0,1.0,2.0
